Link;Titulo;Data da Postagem
https://www.palmeiras.com.br/noticias/palmeiras-treina-apos-vitoria-no-paraguai-e-preparador-enaltece-boa-fase-de-weverton/;Palmeiras treina após vitória no Paraguai e preparador enaltece boa fase de Weverton;25/05/2023 13:51
https://www.palmeiras.com.br/noticias/palmeiras-supera-cerro-porteno-no-paraguai-e-chega-a-50-vitorias-como-visitante-na-libertadores/;Palmeiras supera Cerro Porteño no Paraguai e chega a 50 vitórias como visitante na Libertadores;24/05/2023 22:36
https://www.palmeiras.com.br/noticias/palmeiras-empata-com-taubate-pela-quarta-rodada-do-paulista-feminino/;Palmeiras empata com Taubaté pela quarta rodada do Paulista Feminino;23/05/2023 20:57
https://www.palmeiras.com.br/noticias/cerro-porteno-par-x-palmeiras-informacoes-estatisticas-e-curiosidades-2/;Cerro Porteño-PAR x Palmeiras: informações, estatísticas e curiosidades;23/05/2023 17:33
https://www.palmeiras.com.br/noticias/destaque-em-anos-anteriores-palmeiras-concorre-em-cinco-categorias-na-conafut-2023/;Destaque em anos anteriores, Palmeiras concorre em cinco categorias na CONAFUT 2023;23/05/2023 15:24
https://www.palmeiras.com.br/noticias/verdao-treina-para-enfrentar-o-cerro-porteno-e-luan-preve-dificuldades-teremos-de-ser-inteligentes/;Verdão treina para enfrentar o Cerro Porteño e Luan prevê dificuldades: 'Teremos de ser inteligentes';23/05/2023 13:32
https://www.palmeiras.com.br/noticias/comunicado-utilizacao-da-biometria-facial-em-todos-os-acessos-do-allianz-parque/;Comunicado – Utilização da biometria facial em todos os acessos do Allianz Parque;23/05/2023 12:06
https://www.palmeiras.com.br/noticias/verdao-mede-forcas-com-taubate-pela-quarta-rodada-do-paulista-feminino/;Verdão mede forças com Taubaté pela quarta rodada do Paulista Feminino;22/05/2023 17:31
https://www.palmeiras.com.br/noticias/lancado-em-janeiro-palmeiras-pay-atinge-incrivel-marca-de-200-mil-contas/;Lançado em janeiro, Palmeiras Pay atinge incrível marca de 200 mil contas;22/05/2023 17:09
https://www.palmeiras.com.br/noticias/verdao-trabalha-com-foco-na-libertadores-e-naves-comenta-atuacao-segura-na-zaga/;Verdão trabalha com foco na Libertadores e Naves comenta atuação segura na zaga;22/05/2023 12:54
https://www.palmeiras.com.br/noticias/verdao-joga-bem-e-bate-juventus-em-tres-categorias-pelo-estadual-de-futsal/;Verdão joga bem e bate Juventus em três categorias pelo Estadual de Futsal;22/05/2023 12:33
https://www.palmeiras.com.br/noticias/fora-de-casa-duas-categorias-do-basquete-vencem-sao-jose-pelo-metropolitano/;Fora de casa, duas categorias do basquete vencem São José pelo Metropolitano;22/05/2023 10:00
https://www.palmeiras.com.br/noticias/sub-13-do-verdao-sofre-reves-para-zenit-rus-e-e-vice-campeao-da-burchalkin-cup/;Sub-13 do Verdão sofre revés para Zenit-RUS e é vice-campeão da Burchalkin Cup;21/05/2023 12:39
https://www.palmeiras.com.br/noticias/unico-invicto-no-brasileiro-palmeiras-empata-com-santos-na-vila-belmiro-e-amplia-serie-sem-derrotas-em-classicos/;Único invicto no Brasileiro, Palmeiras empata com Santos na Vila Belmiro e amplia série sem derrotas em clássicos;20/05/2023 23:53
https://www.palmeiras.com.br/noticias/com-quatro-de-amanda-gutierres-palestra-bate-ferroviaria-pela-12a-rodada-do-brasileiro-feminino/;Com quatro de Amanda Gutierres, Palestra bate Ferroviária pela 12ª rodada do Brasileiro Feminino;20/05/2023 13:18
https://www.palmeiras.com.br/noticias/sub-15-do-verdao-empata-com-flamengo-sp-e-segue-invicto-no-campeonato-paulista/;Sub-15 do Verdão empata com Flamengo-SP e segue invicto no Campeonato Paulista;20/05/2023 12:59
